id,group,category,cer,utmos,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,dnsmos_p808,rtf,synth_seconds,audio_seconds,transcript
A01,pure_khmer,short,2.2222222222222223,3.9801769256591797,3.3346429695004285,3.294664585839132,2.6940236640618584,3.4119913578033447,2.3004,11.1104,4.8298,ឬក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រា�
A02,pure_khmer,short,3.111111111111111,3.4390339851379395,3.52364968957359,4.015896836285998,3.244544129496471,3.259554386138916,2.3073,6.0006,2.6006,ខ្លាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប�
A03,pure_khmer,short,2.5454545454545454,3.753164768218994,3.682366492900473,4.185438307153063,3.46732491114696,3.8718678951263428,2.2744,7.3938,3.2508,ខ្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប�
A04,pure_khmer,short,2.075,2.9463682174682617,3.4357717913242403,3.994700502677422,3.1232188349750216,3.550868421792984,2.331,19.9181,8.5449,ប្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់
A05,pure_khmer,short,2.625,4.255118370056152,3.5592647588252007,4.1273413974657265,3.299328635136443,3.926011255809239,2.2644,9.3591,4.1332,ប្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
A06,pure_khmer,short,2.0232558139534884,2.9549238681793213,3.252961417695047,2.375207337509853,2.1829304462856642,3.4892501831054688,2.3188,11.0913,4.7833,ប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្�
A07,pure_khmer,short,2.5135135135135136,3.9641799926757812,3.652648388850179,4.164459687747556,3.397740760643486,3.558367371559143,2.3022,15.5023,6.7338,ខ្លាប់ក្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូ�
A08,pure_khmer,short,2.7419354838709675,3.5221197605133057,3.662640128691944,4.17009218137201,3.4426797281781076,3.7358899116516113,2.3135,14.9337,6.4551,ខ្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A09,pure_khmer,short,1.9047619047619047,3.4992122650146484,3.6270985661248796,4.048666062198625,3.3565336039616973,3.8913814340318953,2.241,9.2625,4.1332,ខ្ល់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក
A10,pure_khmer,short,2.1,4.304876804351807,3.6380987063986425,4.124202826190786,3.3587360288981234,3.8758320808410645,2.2895,12.1207,5.2941,ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A11,pure_khmer,medium,0.7976190476190477,3.374927282333374,3.7320511307231756,4.197038435858736,3.511508788199891,3.675769901275635,2.301,16.2428,7.0589,ប្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប�
A12,pure_khmer,medium,1.025974025974026,3.6051993370056152,3.693022580211328,4.15230762152328,3.4479544643596407,4.036136627197266,2.3524,22.614,9.6131,ខ្លាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់
A13,pure_khmer,medium,0.9873417721518988,2.9614970684051514,3.309400995991549,2.473235236426158,2.208210200066032,3.5272650718688965,2.2851,17.7221,7.7555,ខ្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
A14,pure_khmer,medium,1.162162162162162,3.4674367904663086,3.6425865824522816,4.00190367396618,3.3168955527701356,3.5857962369918823,2.2927,20.3359,8.87,ប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្�
A15,pure_khmer,medium,0.9052631578947369,4.069164752960205,3.6176517051881376,3.6375415462445453,3.1100404187316335,4.178457260131836,2.3417,30.1235,12.8639,ស្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A16,pure_khmer,medium,0.8602150537634409,3.9640583992004395,3.566403705912978,3.5773221815053518,3.034692563378842,3.9449771642684937,2.3232,13.2701,5.7121,ខ្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
A17,pure_khmer,medium,0.8539325842696629,4.2432732582092285,3.6860210650374325,4.15711231355556,3.454945716404356,4.119204725537982,2.3244,18.6744,8.0341,ប្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្រាក្�
A18,pure_khmer,medium,0.9473684210526315,2.2740254402160645,3.3535835804999614,2.434064877825978,2.335540225370952,3.6253034273783364,2.3289,18.4943,7.9412,ល្លាប់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់
A19,pure_khmer,medium,0.8367346938775511,3.689725160598755,3.7017061599322627,4.18194032289602,3.487719226975505,3.9768643379211426,2.3167,26.1435,11.2849,ប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្រូប្�
A20,pure_khmer,medium,0.7941176470588235,3.483386516571045,3.6577436089763133,4.1579809841362945,3.409783552790956,3.9070170879364015,2.299,43.8812,19.0868,ស្សាប់ក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្នៅក្ន�
A21,pure_khmer,medium,1.0470588235294118,3.154381275177002,3.6357713519482906,3.5013543615041303,3.045358166425199,3.794615387916565,2.3043,12.8413,5.5728,ច្រូប្រូវជាក្រូប្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូវជាក្រូ
A22,pure_khmer,medium,0.93,3.5892210006713867,3.7324396096698162,4.239300074105337,3.563736868492729,3.531451463699341,2.306,24.7379,10.7276,រក្យក្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ្ទ�
A23,pure_khmer,medium,0.898876404494382,4.031654357910156,3.5974689716093544,3.7637674304573014,3.1208821872092734,3.618762731552124,2.3312,21.8683,9.3809,ខ្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
A24,pure_khmer,medium,0.7876106194690266,3.2509093284606934,3.4649376897593425,3.187955809390006,2.733926642452093,3.3382186549050465,2.3269,37.2811,16.0218,ប្រូប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្រើប្�
A25,pure_khmer,medium,0.8245614035087719,3.9245877265930176,3.6209339278658064,4.091316043843824,3.3542077559303722,4.024042904376984,2.3076,31.7204,13.7462,ជ្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
A26,pure_khmer,long_complex,0.8743718592964824,3.199612617492676,3.537989754293723,3.7434499827651204,3.058918339867511,3.7788368571888316,2.3047,47.4133,20.5729,ល្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
A27,pure_khmer,long_complex,0.8509316770186336,3.9518826007843018,3.620328286733421,4.0413797765700235,3.322737267162142,3.8555033206939697,2.3133,23.2045,10.031,ដែម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម្ម
