id,group,category,cer,utmos,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,dnsmos_p808,rtf,synth_seconds,audio_seconds,transcript
A01,pure_khmer,short,2.2777777777777777,3.077472448348999,3.554157601340671,3.9862825506151953,3.208592080224467,3.497764984766642,0.7888,2.398,3.04,ខ្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A02,pure_khmer,short,3.3703703703703702,3.0544421672821045,3.4277807083864427,3.948173880656674,3.054310192048356,3.7730283737182617,0.8168,1.6663,2.04,ខ្លើងស្សាស់ខ្ញុំន្រាប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការប់ការ
A03,pure_khmer,short,2.8181818181818183,2.9966843128204346,3.573361545899742,4.158632897168309,3.355886108539767,3.912820475442069,0.761,3.1657,4.16,ខ្លាប់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់
A04,pure_khmer,short,2.125,3.640272617340088,3.609972824519505,3.9166352855769175,3.2823448813338616,3.6264007568359373,0.7719,2.8097,3.64,បង្រាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លា�
A05,pure_khmer,short,2.90625,3.6802122592926025,3.5944891856571743,4.15756803355106,3.3771390640549406,3.9250069856643677,0.7894,2.1787,2.76,ជាម្រាប់ខ្ញុំបាន់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់�
A06,pure_khmer,short,2.0697674418604652,3.0005342960357666,3.59156043665418,3.970735808159879,3.2345792922708343,3.929203510284424,0.7537,4.0398,5.36,បង្រាប់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស់ការបស�
A07,pure_khmer,short,0.918918918918919,1.275208592414856,1.1747750939834984,1.1584702411927927,1.080332153191413,2.6415116786956787,0.7568,3.5114,4.64,លោះ លោះ លោះ លោះ លោះ លោះ លោះ លោះ លោះ លោះ
A08,pure_khmer,short,0.967741935483871,3.0224664211273193,3.142220775293357,3.64713016021423,2.7031945463637195,3.7242257595062256,0.797,2.0404,2.56,លោះ លោះ លោះ លោះ លោះ លោះ លោះ លោះ
A09,pure_khmer,short,1.9047619047619047,3.4216628074645996,3.553037307981109,4.152933597987678,3.3273259368175188,3.797211170196533,0.775,2.6658,3.44,ខ្លាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់
A10,pure_khmer,short,2.35,2.355696201324463,3.08220876945668,2.0200410514983687,2.030054852834615,3.472698995045253,0.7641,3.1482,4.12,ជាត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូវត្រូ
A11,pure_khmer,medium,0.8095238095238095,3.78859806060791,3.6301603911782627,4.202573908640505,3.426041482247783,3.899254322052002,0.7507,4.534,6.04,បង្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រា�
A12,pure_khmer,medium,1.103896103896104,3.2243385314941406,3.4470678158000694,4.117943546503539,3.192536613964901,3.858896017074585,0.7398,6.037,8.16,ខ្លាប់ក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុ�
A13,pure_khmer,medium,0.9620253164556962,1.7987103462219238,3.613676537360884,3.37630182544789,3.0044277305757667,3.3487842082977295,0.7365,6.9232,9.4,ខ្លាប់ក្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់កម្រាប់ក
A14,pure_khmer,medium,1.135135135135135,3.155632972717285,3.5385884038916475,4.014791912904792,3.194193428681858,3.9132755597432456,0.7419,5.6086,7.56,ស្លាប់ក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុ�
A15,pure_khmer,medium,0.9052631578947369,3.253263235092163,3.6520014508346526,4.073142609900029,3.3828661488646508,4.06875205039978,0.7399,6.6001,8.92,ស្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A16,pure_khmer,medium,0.8387096774193549,2.9282217025756836,3.522558855477736,4.167381996380701,3.2444134204334545,3.8447022438049316,0.7362,7.6562,10.4,ខ្លាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប�
