id,group,category,cer,utmos,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,dnsmos_p808,rtf,synth_seconds,audio_seconds,transcript
A01,pure_khmer,short,2.2777777777777777,3.8105950355529785,3.496606334897409,4.180684521366204,3.2963651827011966,3.4498531818389893,0.0221,0.0717,3.248,ខ្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A02,pure_khmer,short,3.2962962962962963,3.0809531211853027,3.4700823310430957,4.16948207823679,3.243981787764478,3.1859781742095947,0.0594,0.1624,2.736,ខ្លាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្សាប់ពីស្�
A03,pure_khmer,short,2.6363636363636362,3.168947696685791,3.253417088888174,4.088065716790003,3.019171759985802,3.6245359579722085,0.0188,0.0594,3.152,ខ្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
A04,pure_khmer,short,2.125,3.1473281383514404,3.470067337610766,4.105822585097129,3.217312468489077,3.7330126762390137,0.0213,0.0702,3.296,ខ្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប់ព្លាប�
A05,pure_khmer,short,2.71875,3.0104715824127197,3.0070482596415387,4.153646674329635,2.8148383555060765,3.7813481092453003,0.0534,0.1486,2.784,ខ្លាប់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់ទាំងស្សាស់�
A06,pure_khmer,short,2.13953488372093,2.603245735168457,3.333752025247842,4.155961060167324,3.1198059907984845,3.604252815246582,0.0127,0.0488,3.84,បង្រាប់ក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្នុងក្ន�
A07,pure_khmer,short,2.2972972972972974,2.8550870418548584,3.4869285749870684,4.153195073551343,3.2606272200493502,3.658805727958679,0.0128,0.0487,3.808,ហើយស្សាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្�
A08,pure_khmer,short,2.774193548387097,3.5041425228118896,3.3172753197251037,4.150438334644089,3.0952241301061587,3.5961517095565796,0.0161,0.046,2.848,ខ្លាក្រាប់ខ្លាក្រាប់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្លាក់ខ្ល�
A09,pure_khmer,short,1.9285714285714286,3.4780936241149902,3.3686651744069906,4.136732824189686,3.1519126104396076,3.405823278427124,0.012,0.044,3.68,ខ្លាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប់ក្រាប�
A10,pure_khmer,short,2.1,3.182983636856079,3.116510553697674,4.034724304133981,2.863218547759028,3.1095937728881835,0.0119,0.042,3.52,ខ្លាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប់ប្រាប�
